epoch,train_loss,train_acc,test_acc,lr,timestamp
1,1.811095014252626,31.412,13.8,0.09993147673772869,2026-01-18T15:31:06.742168
2,1.5375860124597769,43.234,41.39,0.09972609476841367,2026-01-18T15:32:32.493301
3,1.4453581071570707,47.088,30.94,0.0993844170297569,2026-01-18T15:33:57.999565
4,1.3975765418518535,48.786,47.81,0.09890738003669029,2026-01-18T15:35:23.270830
5,1.3425675984233847,50.774,44.39,0.09829629131445342,2026-01-18T15:36:49.314657
6,1.3072330782480557,52.334,44.56,0.09755282581475769,2026-01-18T15:38:14.827840
7,1.2892711793675142,53.108,47.81,0.09667902132486009,2026-01-18T15:39:40.022277
8,1.2684705571445358,53.808,48.87,0.09567727288213004,2026-01-18T15:41:05.424627
9,1.240176724198529,55.2,38.31,0.09455032620941839,2026-01-18T15:42:30.848035
10,1.2334270379732333,55.438,53.3,0.09330127018922195,2026-01-18T15:43:56.317153
11,1.2145965135920689,56.248,46.08,0.0919335283972712,2026-01-18T15:45:21.730272
12,1.216982783106587,56.076,52.32,0.09045084971874738,2026-01-18T15:46:46.889670
13,1.1969457934884464,56.964,56.93,0.08885729807284856,2026-01-18T15:48:12.399313
14,1.1845869269517377,57.414,53.13,0.08715724127386973,2026-01-18T15:49:37.675570
15,1.1812221045079438,57.486,52.67,0.08535533905932739,2026-01-18T15:51:03.149538
16,1.1727867530434943,58.058,51.24,0.08345653031794292,2026-01-18T15:52:27.862614
17,1.159182729166182,58.314,44.44,0.08146601955249189,2026-01-18T15:53:52.890345
18,1.1535120848804483,58.852,51.99,0.07938926261462366,2026-01-18T15:55:18.396230
19,1.1454946692947232,58.846,46.06,0.07723195175075136,2026-01-18T15:56:43.629826
20,1.1448211650104474,58.962,49.62,0.075,2026-01-18T15:58:08.836033
21,1.1306081348672852,59.358,57.96,0.07269952498697733,2026-01-18T15:59:33.846473
22,1.1268640977647297,59.8,56.34,0.07033683215379002,2026-01-18T16:00:59.855834
23,1.119011896498063,59.996,61.6,0.06791839747726504,2026-01-18T16:02:25.058519
24,1.1102034548664337,60.464,48.93,0.06545084971874739,2026-01-18T16:03:50.484497
25,1.098532112510613,60.69,52.21,0.06294095225512605,2026-01-18T16:05:15.899271
26,1.0892337478335252,61.018,53.86,0.060395584540887975,2026-01-18T16:06:41.167171
27,1.095108275523271,60.946,57.27,0.05782172325201156,2026-01-18T16:08:06.408573
28,1.0811536757232587,61.694,59.72,0.05522642316338269,2026-01-18T16:09:31.341503
29,1.0720715387093136,61.972,54.57,0.052616797812147204,2026-01-18T16:10:56.029449
30,1.0667749925342667,61.89,56.29,0.05000000000000003,2026-01-18T16:12:20.910814
31,1.0521655329657942,62.528,60.7,0.04738320218785284,2026-01-18T16:13:45.447820
32,1.046975399374657,62.64,55.05,0.044773576836617354,2026-01-18T16:15:10.361709
33,1.034778180329696,63.35,56.8,0.04217827674798848,2026-01-18T16:16:35.535901
34,1.032035957669358,63.514,58.96,0.03960441545911205,2026-01-18T16:17:59.895033
35,1.028559950763917,63.426,58.0,0.03705904774487399,2026-01-18T16:19:24.353823
36,1.0153584565652911,64.014,58.25,0.03454915028125265,2026-01-18T16:20:50.360934
37,1.0055385175568368,64.232,60.56,0.032081602522735,2026-01-18T16:22:15.909731
38,0.9940596186291532,64.684,63.56,0.029663167846210012,2026-01-18T16:23:41.856750
39,0.982203671237087,65.274,60.9,0.027300475013022674,2026-01-18T16:25:07.059742
40,0.974228303298316,65.432,61.49,0.025000000000000022,2026-01-18T16:26:32.014514
41,0.9673048945339134,65.852,66.82,0.022768048249248673,2026-01-18T16:27:57.119839
42,0.9577457496272329,66.088,65.94,0.02061073738537636,2026-01-18T16:29:22.229908
43,0.9413473051222389,66.764,65.97,0.018533980447508147,2026-01-18T16:30:51.100632
44,0.9322201580647618,67.064,64.68,0.016543469682057117,2026-01-18T16:32:19.290830
45,0.9220997622555784,67.406,65.1,0.014644660940672637,2026-01-18T16:33:47.183844
46,0.9126339656922519,67.622,68.36,0.012842758726130308,2026-01-18T16:35:13.092709
47,0.9017552417867324,68.084,69.02,0.011142701927151463,2026-01-18T16:36:38.973745
48,0.8905870380913815,68.454,62.16,0.009549150281252639,2026-01-18T16:38:04.850583
49,0.8746662170380888,68.952,67.86,0.008066471602728807,2026-01-18T16:39:30.588720
50,0.867856107709353,69.47,68.94,0.006698729810778068,2026-01-18T16:40:56.415954
51,0.8536523897629564,69.782,67.84,0.0054496737905816136,2026-01-18T16:42:22.297616
52,0.8464945623331972,70.156,70.82,0.0043227271178699535,2026-01-18T16:43:48.105089
53,0.8324634748346665,70.618,71.77,0.0033209786751399145,2026-01-18T16:45:14.144449
54,0.8285953519899217,70.624,72.4,0.0024471741852423244,2026-01-18T16:46:40.156757
55,0.8113691279345461,71.398,72.8,0.0017037086855465852,2026-01-18T16:48:06.239213
56,0.8056819496862114,71.722,72.66,0.001092619963309716,2026-01-18T16:49:31.680281
57,0.8055111418294785,71.686,73.23,0.0006155829702431173,2026-01-18T16:50:57.223888
58,0.7971656173086532,71.706,73.46,0.0002739052315863301,2026-01-18T16:52:22.812824
59,0.7946428309011337,71.928,73.52,6.852326227130838e-05,2026-01-18T16:53:49.032748
60,0.7863799007347477,72.332,73.56,0.0,2026-01-18T16:55:14.352955
