epoch,train_loss,train_acc,test_acc,lr,timestamp
1,2.016871909961066,28.078,40.83,0.09999383162408304,2026-01-18T20:13:37.123584
2,1.3850324842935937,48.914,53.82,0.09997532801828658,2026-01-18T20:14:51.815756
3,1.0613310960552576,62.038,64.49,0.09994449374809851,2026-01-18T20:16:05.738964
4,0.8535803891813664,69.674,67.12,0.09990133642141359,2026-01-18T20:17:18.806238
5,0.7063165031125783,75.508,75.61,0.09984586668665642,2026-01-18T20:18:33.663495
6,0.6124934084580073,78.976,73.7,0.09977809823015402,2026-01-18T20:19:47.879692
7,0.561833863291899,80.716,74.33,0.09969804777275901,2026-01-18T20:21:02.419845
8,0.5322385316767047,81.68,78.35,0.09960573506572391,2026-01-18T20:22:16.174524
9,0.5010074714717963,82.616,78.06,0.09950118288582789,2026-01-18T20:27:53.780826
10,0.4890257953225499,83.092,78.89,0.09938441702975691,2026-01-18T20:29:30.304262
11,0.46315558132765544,83.998,81.98,0.09925546630773871,2026-01-18T20:30:50.592679
12,0.4573476896490282,84.288,78.12,0.09911436253643445,2026-01-18T20:32:26.278551
13,0.438776108919812,85.048,84.04,0.0989611405310883,2026-01-18T20:34:08.550041
14,0.4354321380024371,85.044,80.99,0.09879583809693739,2026-01-18T20:35:54.822769
15,0.41934700199710134,85.678,81.9,0.09861849601988384,2026-01-18T20:37:15.512808
16,0.411372097137639,86.02,83.97,0.09842915805643157,2026-01-18T20:38:29.154313
17,0.4064225939381153,86.148,82.21,0.09822787092288993,2026-01-18T20:39:44.825987
18,0.39550157390592044,86.396,75.09,0.09801468428384717,2026-01-18T20:40:57.237535
19,0.38755160734019317,86.77,83.57,0.09778965073991652,2026-01-18T20:42:10.007280
20,0.3818565344109255,86.982,81.69,0.0975528258147577,2026-01-18T20:43:25.308754
21,0.37948659279614766,87.048,80.21,0.09730426794137728,2026-01-18T20:44:39.256974
22,0.3753747412234621,87.226,81.7,0.09704403844771128,2026-01-18T20:45:52.718156
23,0.36979251951360337,87.366,84.26,0.09677220154149338,2026-01-18T20:47:07.337717
24,0.3646327663413094,87.542,84.53,0.09648882429441258,2026-01-18T20:48:20.818326
25,0.35917623287728984,87.638,83.95,0.09619397662556435,2026-01-18T20:49:33.484863
26,0.3583460768013049,87.644,84.63,0.09588773128419906,2026-01-18T20:50:46.197371
27,0.3526387531357958,88.028,80.35,0.09557016383177226,2026-01-18T20:52:00.761916
28,0.35047100564403,88.052,82.12,0.09524135262330098,2026-01-18T20:53:14.437067
29,0.34772478093576553,88.178,84.74,0.09490137878803079,2026-01-18T21:53:28.629157
30,0.3440752439105602,88.278,79.69,0.0945503262094184,2026-01-18T21:55:15.879697
31,0.3406172441628278,88.44,81.6,0.0941882815044347,2026-01-18T21:57:08.606697
32,0.33924753129329827,88.38,85.96,0.09381533400219319,2026-01-18T21:58:59.104119
33,0.33513778131788646,88.604,84.3,0.09343157572190958,2026-01-18T22:00:46.280013
34,0.33412831777806784,88.46,81.21,0.0930371013501972,2026-01-18T22:02:37.355156
35,0.3283167236182086,88.61,80.86,0.09263200821770463,2026-01-18T22:04:18.819698
36,0.3265609493874528,88.78,82.6,0.09221639627510078,2026-01-18T22:06:03.028288
37,0.3317829049609201,88.636,80.43,0.09179036806841355,2026-01-18T22:07:43.365708
38,0.32131962908808226,88.978,85.77,0.09135402871372812,2026-01-18T22:09:34.686071
39,0.32463609177590635,89.002,78.32,0.0909074858712512,2026-01-18T22:11:26.909977
40,0.31616651935650564,89.254,85.93,0.09045084971874741,2026-01-18T22:13:12.999731
41,0.3194796285589638,89.248,86.55,0.08998423292435458,2026-01-18T22:14:34.245158
42,0.3190425210977759,89.058,81.73,0.08950775061878456,2026-01-18T22:16:13.411217
43,0.310516232057758,89.46,81.66,0.08902152036691652,2026-01-18T22:17:56.760622
44,0.31354265818205634,89.258,85.43,0.0885256621387895,2026-01-18T22:19:41.587660
45,0.31573464330809803,89.22,87.15,0.08802029828000159,2026-01-18T22:21:23.166203
46,0.3052835673703562,89.686,85.7,0.08750555348152302,2026-01-18T22:23:04.620072
47,0.3042662242032073,89.688,77.66,0.0869815547489305,2026-01-18T22:24:42.089356
48,0.3047342785179158,89.612,83.38,0.0864484313710706,2026-01-18T22:26:18.238943
49,0.301548220121952,89.668,85.33,0.08590631488815947,2026-01-18T22:27:59.551327
50,0.299564640330689,89.804,85.12,0.08535533905932739,2026-01-18T22:29:40.046907
51,0.3033525188027136,89.69,83.2,0.08479563982961573,2026-01-18T22:31:20.214676
52,0.29389573652726,89.782,83.24,0.08422735529643445,2026-01-18T22:33:00.042890
53,0.2977156754573593,89.912,83.91,0.08365062567548867,2026-01-18T22:34:41.987364
54,0.29366873124676285,89.934,86.95,0.0830655932661826,2026-01-18T22:36:30.595085
55,0.2865771900509934,90.152,82.66,0.08247240241650919,2026-01-18T22:38:16.622916
56,0.2872743635150173,90.168,84.25,0.08187119948743449,2026-01-18T22:39:58.470996
57,0.284231184045677,90.222,85.64,0.08126213281678525,2026-01-18T22:41:40.610659
58,0.2872212452199453,90.346,81.65,0.08064535268264883,2026-01-18T22:43:22.651588
59,0.2831146644090143,90.328,89.01,0.0800210112662942,2026-01-18T22:45:02.489337
60,0.2853539267845471,90.41,87.2,0.07938926261462366,2026-01-18T22:46:44.622178
61,0.27934871457726757,90.562,85.09,0.07875026260216393,2026-01-18T23:20:14.714005
62,0.277277852644396,90.476,86.36,0.07810416889260655,2026-01-18T23:21:27.933277
63,0.2790418582422959,90.552,86.24,0.0774511408999066,2026-01-18T23:22:40.783515
64,0.27670661133268604,90.536,86.85,0.07679133974894983,2026-01-18T23:23:55.624501
65,0.2687772573793636,90.91,86.91,0.07612492823579745,2026-01-18T23:25:08.800685
66,0.27365115016241515,90.6,85.56,0.07545207078751857,2026-01-18T23:26:22.017854
67,0.26403607370908305,90.896,87.29,0.07477293342162039,2026-01-18T23:27:37.295271
68,0.2674811057308141,90.986,85.01,0.07408768370508577,2026-01-18T23:28:51.273370
69,0.263261170852977,91.02,85.29,0.07339649071302869,2026-01-18T23:30:04.280475
70,0.26600946569839096,90.866,87.32,0.07269952498697735,2026-01-19T00:05:29.872584
71,0.2578072129841656,91.154,87.82,0.07199695849279576,2026-01-19T00:07:10.406832
72,0.25416534022449533,91.418,85.18,0.07128896457825365,2026-01-19T00:08:33.369201
73,0.25041419412473886,91.396,82.08,0.07057571793025547,2026-01-19T00:09:53.736296
74,0.25672610363234644,91.308,86.42,0.06985739453173904,2026-01-19T00:11:09.825139
75,0.2493697224599321,91.54,88.37,0.06913417161825451,2026-01-19T00:12:28.395587
76,0.2434631575022817,91.588,86.73,0.06840622763423393,2026-01-19T00:13:42.409519
77,0.2506829818420093,91.446,88.1,0.06767374218896288,2026-01-19T00:14:56.630058
78,0.24065061833928614,91.906,87.15,0.0669368960122646,2026-01-19T00:16:14.136642
79,0.23807193925770956,91.918,88.17,0.0661958709099075,2026-01-19T00:17:28.680216
80,0.23734068895316185,91.952,88.14,0.0654508497187474,2026-01-19T00:18:44.926225
81,0.23846275195517502,91.952,86.99,0.06470201626161523,2026-01-19T08:30:59.986058
82,0.23204572085300676,92.042,88.34,0.0639495553019615,2026-01-19T08:32:14.352235
83,0.2282226457620216,92.238,86.07,0.06319365249826867,2026-01-19T08:33:26.281116
84,0.22774815957640748,92.174,85.0,0.062434494358242755,2026-01-19T08:34:39.669946
85,0.22558693138077435,92.272,87.46,0.0616722681927953,2026-01-19T08:35:55.710982
86,0.22270169394933964,92.452,87.72,0.060907162069827166,2026-01-19T08:37:08.960860
87,0.21967291652851398,92.49,89.4,0.060139364767825665,2026-01-19T08:38:22.516332
88,0.2253191590575916,92.238,88.45,0.059369065729286276,2026-01-19T08:39:38.948392
89,0.2187708291937323,92.422,87.88,0.058596455013970504,2026-01-19T08:40:53.707382
90,0.21268196497350703,92.656,87.22,0.05782172325201158,2026-01-19T09:48:16.633384
91,0.21069438223872344,92.78,86.63,0.05704506159687917,2026-01-19T09:49:31.368293
92,0.21370483816737104,92.784,86.5,0.05626666167821525,2026-01-19T09:50:45.913186
93,0.20858240990763735,92.916,90.14,0.05548671555455229,2026-01-19T09:51:59.770173
94,0.2037332604455826,93.136,86.46,0.05470541566592574,2026-01-19T09:53:13.450923
95,0.20153061186184967,93.13,87.11,0.05392295478639227,2026-01-19T09:54:27.041984
96,0.20233427312063135,93.092,87.78,0.05313952597646569,2026-01-19T09:55:42.507247
97,0.20190432566739713,93.126,89.24,0.05235532253548215,2026-01-19T09:56:56.523908
98,0.195523631732787,93.304,88.83,0.05157053795390643,2026-01-19T09:58:11.374109
99,0.18896580895270837,93.452,87.64,0.05078536586559105,2026-01-19T10:03:20.056353
100,0.1901196298925468,93.596,88.96,0.05000000000000001,2026-01-19T10:04:35.511113
101,0.19060475110550365,93.504,89.53,0.049214634134408984,2026-01-19T10:05:57.660231
102,0.18916290483015882,93.6,88.73,0.048429462046093594,2026-01-19T10:07:17.927472
103,0.17585627879480573,94.056,87.78,0.04764467746451788,2026-01-19T10:08:32.540202
104,0.17974023225591007,93.976,89.65,0.04686047402353434,2026-01-19T10:09:44.890240
105,0.17959807778868225,93.89,90.0,0.04607704521360777,2026-01-19T10:10:58.757074
106,0.17879929818460705,93.944,90.19,0.045294584334074295,2026-01-19T10:12:11.345072
107,0.16631663070462854,94.356,89.37,0.04451328444544775,2026-01-19T10:13:25.102821
108,0.17070823582961125,94.142,87.77,0.043733338321784804,2026-01-19T10:14:40.157945
109,0.16262334510874565,94.42,89.47,0.04295493840312089,2026-01-19T10:15:55.772841
110,0.16167461855903917,94.412,88.77,0.04217827674798847,2026-01-19T10:17:09.578288
111,0.16694320756418016,94.268,88.64,0.04140354498602953,2026-01-19T10:18:23.144834
112,0.15850259541817333,94.532,90.1,0.040630934270713785,2026-01-19T10:19:41.879935
113,0.15577923003441232,94.7,89.55,0.039860635232174396,2026-01-19T10:20:56.515757
114,0.15354482263631528,94.752,89.76,0.0390928379301729,2026-01-19T10:22:11.661869
115,0.1524704886252618,94.828,90.07,0.03832773180720474,2026-01-19T10:23:26.782605
116,0.1445251411622595,95.138,90.64,0.03756550564175727,2026-01-19T10:24:41.855099
117,0.14619122442725063,94.996,90.49,0.03680634750173137,2026-01-19T10:26:11.415554
118,0.139738185860007,95.326,90.49,0.03605044469803855,2026-01-19T10:27:51.441464
119,0.13473635515593507,95.392,89.7,0.03529798373838482,2026-01-19T10:29:33.470819
120,0.13680201066691247,95.336,88.47,0.034549150281252654,2026-01-19T10:31:13.220913
